Datetime,USGS_flow
2017-06-23,643.44794
2017-06-24,545.4792
2017-06-25,486.8021
2017-06-26,460.47916
2017-06-27,434.1146
2017-06-28,413.2604
2017-06-29,386.2604
2017-06-30,375.5104
2017-07-01,359.77084
2017-07-02,339.72916
2017-07-03,325.71875
2017-07-04,315.47916
2017-07-05,306.16666
2017-07-06,293.90625
2017-07-07,276.83334
2017-07-08,263.53125
2017-07-09,260.25
2017-07-10,248.69792
2017-07-11,253.79167
2017-07-12,235.52083
2017-07-13,223.23958
2017-07-14,221.58333
2017-07-15,209.04167
2017-07-16,208.15625
2017-07-17,196.13542
2017-07-18,207.25
2017-07-19,187.25
2017-07-20,208.65625
2017-07-21,177.83333
2017-07-22,231.77083
2017-07-23,180.75
2017-07-24,175.05208
2017-07-25,183.9375
2017-07-26,189.71875
2017-07-27,190.6875
2017-07-28,154.5625
2017-07-29,143.45833
2017-07-30,130.28125
2017-07-31,124.8125
2017-08-01,118.229164
2017-08-02,111.520836
2017-08-03,106.541664
2017-08-04,100.16875
2017-08-05,99.53021
2017-08-06,91.222916
2017-08-07,91.09167
2017-08-08,114.208336
2017-08-09,142.1875
2017-08-10,117.552086
2017-08-11,97.22813
2017-08-12,91.6
2017-08-13,88.29583
2017-08-14,88.00625
2017-08-15,81.8875
2017-08-16,82.67396
2017-08-17,74.1875
2017-08-18,69.26146
2017-08-19,65.25833
2017-08-20,65.16563
2017-08-21,63.098957
2017-08-22,60.390625
2017-08-23,64.48334
2017-08-24,70.32188
2017-08-25,59.536457
2017-08-26,55.953125
2017-08-27,52.402084
2017-08-28,48.21042
2017-08-29,46.271873
2017-08-30,46.904167
2017-08-31,92.9625
2017-09-01,70.40625
2017-09-02,54.495834
2017-09-03,49.305206
2017-09-04,45.325
2017-09-05,43.462498
2017-09-06,41.28854
2017-09-07,40.175
2017-09-08,39.71875
2017-09-09,40.45
2017-09-10,43.552082
2017-09-11,41.78958
2017-09-12,44.002083
2017-09-13,38.711456
2017-09-14,39.53854
2017-09-15,48.482292
2017-09-16,71.885414
2017-09-17,51.305206
2017-09-18,43.6625
2017-09-19,44.98152
2017-09-20,61.380207
2017-09-21,63.71979
2017-09-22,58.084373
2017-09-23,67.354164
2017-09-24,82.65938
2017-09-25,86.13959
2017-09-26,74.19896
2017-09-27,81.10208
2017-09-28,89.03021
2017-09-29,79.78958
2017-09-30,84.73125
2017-10-01,83.40625
2017-10-02,67.36875
2017-10-03,63.822918
2017-10-04,75.21042
2017-10-05,60.004166
2017-10-06,62.228127
2017-10-07,56.79271
2017-10-08,58.664585
2017-10-09,55.291668
2017-10-10,52.861458
2017-10-11,64.94063
2017-10-12,58.104168
2017-10-13,43.589584
2017-10-14,48.045834
2017-10-15,43.248913
2017-10-16,57.53229
2017-10-17,51.89375
2017-10-18,51.872917
2017-10-19,50.303123
2017-10-20,49.947918
2017-10-21,44.2625
2017-10-22,45.38125
2017-10-23,53.494793
2017-10-24,41.46979
2017-10-25,41.553123
2017-10-26,45.68646
2017-10-27,39.833332
2017-10-28,41.877083
2017-10-29,42.645832
2017-10-30,45.047916
2017-10-31,42.208694
2017-11-01,36.239582
2017-11-02,42.830208
2017-11-03,42.69479
2017-11-04,34.557293
2017-11-05,43.208332
2017-11-06,45.990623
2017-11-07,48.29271
2017-11-08,65.04792
2017-11-09,79.239586
2017-11-10,71.808334
2017-11-11,58.361458
2017-11-12,64.83854
2017-11-13,62.371876
2017-11-14,44.86354
2017-11-15,54.02396
2017-11-16,43.87396
2017-11-17,39.057293
2017-11-18,42.4875
2017-11-19,71.58854
2017-11-20,76.78646
2017-11-21,58.619793
2017-11-22,53.804165
2017-11-23,56.975
2017-11-24,55.63333
2017-11-25,56.979347
2017-11-26,64.02292
2017-11-27,49.503124
2017-11-28,49.09479
2017-11-29,68.81875
2017-11-30,69.18229
2017-12-01,67.85625
2017-12-02,65.45208
2017-12-03,46.90521
2017-12-04,38.5225
2017-12-05,40.058334
2017-12-06,33.266666
2017-12-07,33.958332
2017-12-08,44.533333
2017-12-09,41.766666
2017-12-10,38.858334
2017-12-11,39.15
2017-12-12,39.291668
2017-12-13,42.141666
2017-12-14,41.933334
2017-12-15,38.116665
2017-12-16,40.383335
2017-12-17,37.033333
2017-12-18,39.358334
2017-12-19,40.5
2017-12-20,41.841667
2017-12-21,40.725
2017-12-22,38.616665
2017-12-23,51.61667
2017-12-24,51.841667
2017-12-25,61.341667
2017-12-26,63.441666
2017-12-27,61.133335
2017-12-28,58.033333
2017-12-29,47.175
2017-12-30,39.316666
2017-12-31,36.733334
2018-01-01,45.966667
2018-01-02,43.25
2018-01-03,49.066666
2018-01-04,57.225
2018-01-05,61.8
2018-01-06,61.125
2018-01-07,61.86667
2018-01-08,43.525
2018-01-09,35.7
2018-01-10,31.666666
2018-01-11,29.575
2018-01-12,30.741667
2018-01-13,31.475
2018-01-14,30.333334
2018-01-15,26.75
2018-01-16,23.8
2018-01-17,24.55
2018-01-18,25.941666
2018-01-19,26.725
2018-01-20,26.975
2018-01-21,25.058334
2018-01-22,23.366667
2018-01-23,20.758333
2018-01-24,19.675001
2018-01-25,19.75
2018-01-26,19.266666
2018-01-27,18.316668
2018-01-28,19.091667
2018-01-29,20.541666
2018-01-30,20.8
2018-01-31,19.841667
2018-02-01,18.375
2018-02-02,18.208334
2018-02-03,19.725
2018-02-04,20.366667
2018-02-05,18.891666
2018-02-06,18.025
2018-02-07,17.625
2018-02-08,17.433332
2018-02-09,16.9
2018-02-10,16.775
2018-02-11,16.133333
2018-02-12,16.775
2018-02-13,17.733334
2018-02-14,17.558332
2018-02-15,18.175
2018-02-16,17.341667
2018-02-17,16.1
2018-02-18,17.641666
2018-02-19,17.0
2018-02-20,13.891666
2018-02-21,11.275
2018-02-22,12.025
2018-02-23,13.391666
2018-02-24,14.091667
2018-02-25,16.55
2018-02-26,18.908333
2018-02-27,21.291666
2018-02-28,20.675
2018-03-01,21.608334
2018-03-02,23.75
2018-03-03,24.166668
2018-03-04,25.475
2018-03-05,28.75
2018-03-06,28.258333
2018-03-07,26.475
2018-03-08,30.233334
2018-03-09,29.841667
2018-03-10,26.525
2018-03-11,28.80339
2018-03-12,24.758333
2018-03-13,23.242424
2018-03-14,27.084848
2018-03-15,23.129168
2018-03-16,21.859375
2018-03-17,26.151041
2018-03-18,23.51413
2018-03-19,29.555208
2018-03-20,46.665627
2018-03-21,31.936459
2018-03-22,19.956251
2018-03-23,38.058334
2018-03-24,50.783333
2018-03-25,36.07083
2018-03-26,26.596874
2018-03-27,30.276041
2018-03-28,25.222916
2018-03-29,34.28913
2018-03-30,22.120653
2018-03-31,25.060417
2018-04-01,33.44896
2018-04-02,43.71875
2018-04-03,48.996876
2018-04-04,56.55326
2018-04-05,35.445835
2018-04-06,47.746876
2018-04-07,77.54791
2018-04-08,130.27083
2018-04-09,117.302086
2018-04-10,120.204544
2018-04-11,149.28125
2018-04-12,209.76042
2018-04-13,168.77083
2018-04-14,177.51042
2018-04-15,166.70833
2018-04-16,175.65625
2018-04-17,222.03125
2018-04-18,194.65625
2018-04-19,176.30208
2018-04-20,186.14583
2018-04-21,170.66667
2018-04-22,161.79167
2018-04-23,197.91667
2018-04-24,262.25
2018-04-25,257.29166
2018-04-26,286.41666
2018-04-27,352.95834
2018-04-28,446.08334
2018-04-29,514.9167
2018-04-30,538.5833
2018-05-01,379.5
2018-05-02,354.95834
2018-05-03,310.08334
2018-05-04,299.68628
2018-05-05,357.8021
2018-05-06,400.4375
2018-05-07,470.0104
2018-05-08,595.8333
2018-05-09,753.21875
2018-05-10,846.4375
2018-05-11,858.34375
2018-05-12,762.01044
2018-05-13,621.20636
2018-05-14,456.45834
2018-05-15,451.75
2018-05-16,578.36456
2018-05-17,819.8542
2018-05-18,899.30524
2018-05-19,651.67706
2018-05-20,632.53125
2018-05-21,688.0833
2018-05-22,893.32294
2018-05-23,711.4583
2018-05-24,668.90625
2018-05-25,990.7083
2018-05-26,1380.5729
2018-05-27,1195.4375
2018-05-28,1084.875
2018-05-29,817.4792
2018-05-30,695.1458
2018-05-31,906.5208
2018-06-01,996.5417
2018-06-02,732.26044
2018-06-03,772.8542
2018-06-04,821.5
2018-06-05,847.80206
2018-06-06,832.96875
2018-06-07,649.1458
2018-06-08,611.67706
2018-06-09,594.57294
2018-06-10,573.17706
2018-06-11,467.1354
2018-06-12,407.29166
2018-06-13,391.33334
2018-06-14,382.625
2018-06-15,362.60416
2018-06-16,342.1979
2018-06-17,326.65625
2018-06-18,340.4271
2018-06-19,277.6354
2018-06-20,245.0625
2018-06-21,225.34375
2018-06-22,207.64583
2018-06-23,195.35417
2018-06-24,180.13542
2018-06-25,166.96875
2018-06-26,154.5
2018-06-27,145.23958
2018-06-28,137.32292
2018-06-29,128.57292
2018-06-30,123.697914
2018-07-01,113.114586
2018-07-02,104.86667
2018-07-03,98.197914
2018-07-04,92.76354
2018-07-05,88.73125
2018-07-06,86.770836
2018-07-07,87.609375
2018-07-08,81.984375
2018-07-09,101.25938
2018-07-10,131.09479
2018-07-11,88.09167
2018-07-12,89.77604
2018-07-13,82.47396
2018-07-14,78.0
2018-07-15,80.97396
2018-07-16,71.49271
2018-07-17,80.46667
2018-07-18,75.3375
2018-07-19,67.38125
2018-07-20,63.5
2018-07-21,64.782295
2018-07-22,63.1625
2018-07-23,76.52292
2018-07-24,60.891666
2018-07-25,58.12396
2018-07-26,56.75625
2018-07-27,49.322918
2018-07-28,46.21875
2018-07-29,43.994793
2018-07-30,42.10625
2018-07-31,40.435417
2018-08-01,39.635418
2018-08-02,43.852085
2018-08-03,43.316666
2018-08-04,37.97708
2018-08-05,38.03021
2018-08-06,35.45729
2018-08-07,33.905262
2018-08-08,32.091667
2018-08-09,31.104166
2018-08-10,29.710417
2018-08-11,29.716667
2018-08-12,29.940624
2018-08-13,29.670834
2018-08-14,28.870834
2018-08-15,27.927084
2018-08-16,28.325
2018-08-17,32.87396
2018-08-18,38.383335
2018-08-19,34.04271
2018-08-20,29.138542
2018-08-21,37.689583
2018-08-22,49.53854
2018-08-23,94.98646
2018-08-24,49.44896
2018-08-25,44.85
2018-08-26,38.275
2018-08-27,34.1375
2018-08-28,34.160416
